product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Unısex Sneaker,99.98,0.0,0,noShipping,57,16,STEPART,57,1
Unisex Siyah Spor Ayakkabı Günlük Sneakers Ayakkabı,43.7,99.9,56,noShipping,65,141,tomms,65,1
Kadın Spor Ayakkabı 1002-101-0001,49.99,144.15,65,noShipping,93,6,Gob London,93,1
Pudra Kadın Sneaker 16450,49.99,0.0,0,noShipping,85,7,SOHO,85,1
Siyah Unisex Spor Ayakkabı,44.9,114.0,60,noShipping,67,120,öz taha,67,1
Yaylı Spiralli Ahşap Ayakkabı Kalıbı,48.9,59.9,18,noShipping,91,106,Blink,91,1
Siyah Sneaker,47.9,99.9,52,noShipping,68,30,Sosyete Collections,68,1
Vn Sneaker Sarı Damalı,99.98,184.99,45,noShipping,81,32,MYZENNE,81,1
Cnv Bot Haki,99.98,164.99,39,noShipping,85,17,MYZENNE,85,1
Cnv Bot Açık Mavi,99.98,244.99,59,noShipping,91,11,MYZENNE,91,1
Kadın Spor Ayakkabı 1002-101-0001,49.99,144.15,65,noShipping,82,7,Gob London,82,1
Kadın Beyaz Spor Ayakkabı,45.9,149.9,69,noShipping,84,63,Elipos,84,1
Spor Ayakkabı - Siyah,39.99,99.99,60,noShipping,77,8,ayakkabıhavuzu,77,1
Unisex Beyaz Spor Ayakkabı,49.9,99.9,50,noShipping,73,483,Stil Ayakkabim,73,1
Sneaker Beyaz,47.9,99.9,52,noShipping,73,9,Sosyete Collections,73,1
Koçak Ayakkabı File Kadın Spor Ayakkabı,39.9,100.0,60,noShipping,80,1,KOCAK AYAKKABI CANTA,80,1
Vn Sneaker Bordo,99.98,184.99,45,noShipping,83,20,MYZENNE,83,1
Vn Sneaker Beyaz,99.98,204.99,51,noShipping,84,36,MYZENNE,84,1
Ortopedik Sneaker Gri Kamuflaj,99.98,204.99,51,noShipping,92,8,Myzeste,92,1
Spor Ayakkabı -,37.5,74.99,49,noShipping,72,5,ayakkabıhavuzu,72,1
Cnv Ayakkabı Beyaza Beyaz,99.98,184.99,45,noShipping,75,26,MYZENNE,75,1
Kadın Spor Ayakkabı 1029-101-0017,49.99,142.29,64,noShipping,80,1,Gob London,80,1
Luiza Air Unisex Süet Sneaker,41.81,49.9,16,noShipping,80,3,Oksit,80,1
Kadın Siyah Sneakers,99.99,0.0,0,noShipping,70,8,Pembe Potin,70,1
Cnv Bot Bordo,99.98,184.99,45,noShipping,86,12,MYZENNE,86,1
Spor Ayakkabı Beyaz,49.99,69.99,28,noShipping,100,1,ayakkabıhavuzu,100,1
Cnv Bot Lila,99.98,244.99,59,noShipping,89,43,MYZENNE,89,1
Kadın Hardal Düz Taban Sneaker,39.99,0.0,0,noShipping,80,1,TRENDBU AYAKKABI,80,1
Vn Sneaker Kamuflaj,99.98,204.99,51,noShipping,75,21,MYZENNE,75,1
Cnv Ayakkabı Pembe Simli,79.98,204.99,60,noShipping,100,4,MYZENNE,100,1
Cnv Bot Yeşil Kamuflaj,99.98,164.99,39,noShipping,85,8,MYZENNE,85,1
