product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Bordo Süet Spor Ayakkabı,24.95,59.99,58,noShipping,70,2,Markalik,70,1
TULIA W 1FX Siyah Kadın Sneaker Ayakkabı 101021887,21.99,39.99,45,noShipping,91,22,Torex,91,1
Tulıa W 1fx Fuşya Kadın Slip On,20.0,39.99,49,noShipping,92,5,Torex,92,1
Kadın Beyaz Sneaker Ayakkabı 101021895,21.99,39.99,45,noShipping,86,18,Torex,86,1
Basketbol Kolluğu,21.9,0.0,0,noShipping,80,8,Slazenger,80,1
Kadın Mavi Slip On Ayakkabı 100351522,20.0,39.99,49,noShipping,60,8,Polaris,60,1
Ayakkabı Giyme Aparatı Kerata Ayakkabı Çekeceği 65 Cm Krem,34.9,49.0,28,noShipping,94,11,Comfy,94,1
Kadın Lacivert Sneaker Ayakkabı 100384172,25.0,49.99,49,noShipping,85,16,ART BELLA,85,1
Kadın Sarı Sneaker Ayakkabı 100382585,25.0,49.99,49,noShipping,73,15,ART BELLA,73,1
Unisex Siyah Ayakkabı Tabanlık,25.0,62.0,59,noShipping,20,1,Güler,20,1
Kadın Saks Sneaker Ayakkabı 100380039,22.5,44.99,49,noShipping,72,8,Polaris,72,1
Sneaker-spor Ayakkabı Bağcığı,20.0,24.95,19,noShipping,60,1,DOCH,60,1
92.511714.B Haki Erkek Çocuk Sneaker Ayakkabı 100422879,24.61,49.99,50,noShipping,85,141,Polaris,85,1
91.511062.I Mavi Erkek Çocuk Spor Ayakkabı 100368421,23.69,49.99,52,noShipping,74,90,Polaris,74,1
ZYRA Lacivert Erkek Çocuk Sneaker Ayakkabı 100355598,21.99,39.99,45,noShipping,87,151,Kinetix,87,1
MONEY Mavi Erkek Çocuk Sneaker Ayakkabı 100485873,17.71,49.99,64,noShipping,91,69,lumberjack,91,1
512225.B1FX Lacivert Erkek Çocuk Spor Ayakkabı 100936674,22.5,49.99,54,noShipping,95,47,Polaris,95,1
Zyra Fuşya Kız Çocuk Sneaker Ayakkabı 100367493,20.0,39.99,49,noShipping,88,265,Kinetix,88,1
SHINY Açık Pembe Kız Çocuk Babet 100259882,20.0,49.99,59,noShipping,73,33,BALLOON-S,73,1
515147.B1FX Lacivert Erkek Çocuk Sneaker 100937549,23.23,44.99,48,noShipping,89,45,Polaris,89,1
615190.B1FX Fuşya Kız Çocuk Sneaker 101011011,24.74,44.99,45,noShipping,95,29,Polaris,95,1
512267.B Mor Kız Çocuk Sneaker Ayakkabı 100499222,23.25,49.99,53,noShipping,93,19,Polaris,93,1
515147.B1FX Gri Erkek Çocuk Sneaker 100937547,24.17,44.99,46,noShipping,95,30,Polaris,95,1
615190.B1FX Lacivert Kız Çocuk Sneaker 101011010,24.74,44.99,45,noShipping,89,11,Polaris,89,1
DOYOU Lacivert Erkek Terlik 100381016,17.99,29.99,40,noShipping,88,19,Kinetix,88,1
3048p Kız - Erkek Çocuk Ayakkabı,24.11,41.43,41,noShipping,90,2,GEZER,90,1
Çocuk Çizgi Desenli Ayakkabı 14023,19.9,29.9,33,noShipping,20,1,Dilara Sultan,20,1
Unısex Sneaker,99.98,0.0,0,noShipping,57,16,STEPART,57,2
Unisex Siyah Spor Ayakkabı Günlük Sneakers Ayakkabı,43.7,99.9,56,noShipping,65,141,tomms,65,2
Kadın Spor Ayakkabı 1002-101-0001,49.99,144.15,65,noShipping,93,6,Gob London,93,2
Pudra Kadın Sneaker 16450,49.99,0.0,0,noShipping,85,7,SOHO,85,2
Siyah Unisex Spor Ayakkabı,44.9,114.0,60,noShipping,67,120,öz taha,67,2
Yaylı Spiralli Ahşap Ayakkabı Kalıbı,48.9,59.9,18,noShipping,91,106,Blink,91,2
Siyah Sneaker,47.9,99.9,52,noShipping,68,30,Sosyete Collections,68,2
Vn Sneaker Sarı Damalı,99.98,184.99,45,noShipping,81,32,MYZENNE,81,2
Cnv Bot Haki,99.98,164.99,39,noShipping,85,17,MYZENNE,85,2
Cnv Bot Açık Mavi,99.98,244.99,59,noShipping,91,11,MYZENNE,91,2
Kadın Spor Ayakkabı 1002-101-0001,49.99,144.15,65,noShipping,82,7,Gob London,82,2
Kadın Beyaz Spor Ayakkabı,45.9,149.9,69,noShipping,84,63,Elipos,84,2
Spor Ayakkabı - Siyah,39.99,99.99,60,noShipping,77,8,ayakkabıhavuzu,77,2
Unisex Beyaz Spor Ayakkabı,49.9,99.9,50,noShipping,73,483,Stil Ayakkabim,73,2
Sneaker Beyaz,47.9,99.9,52,noShipping,73,9,Sosyete Collections,73,2
Koçak Ayakkabı File Kadın Spor Ayakkabı,39.9,100.0,60,noShipping,80,1,KOCAK AYAKKABI CANTA,80,2
Vn Sneaker Bordo,99.98,184.99,45,noShipping,83,20,MYZENNE,83,2
Vn Sneaker Beyaz,99.98,204.99,51,noShipping,84,36,MYZENNE,84,2
Ortopedik Sneaker Gri Kamuflaj,99.98,204.99,51,noShipping,92,8,Myzeste,92,2
Spor Ayakkabı -,37.5,74.99,49,noShipping,72,5,ayakkabıhavuzu,72,2
Kadın Spor Ayakkabı 1029-101-0017,49.99,142.29,64,noShipping,80,1,Gob London,80,2
Luiza Air Unisex Süet Sneaker,41.81,49.9,16,noShipping,80,3,Oksit,80,2
Cnv Ayakkabı Beyaza Beyaz,99.98,184.99,45,noShipping,75,26,MYZENNE,75,2
Kadın Siyah Sneakers,99.99,0.0,0,noShipping,70,8,Pembe Potin,70,2
Cnv Bot Bordo,99.98,184.99,45,noShipping,86,12,MYZENNE,86,2
Spor Ayakkabı Beyaz,49.99,69.99,28,noShipping,100,1,ayakkabıhavuzu,100,2
