product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Muggo SVT18 Unisex Fileli Günlük Spor Yürüyüş Sneaker Ayakkabı,59.0,86.0,31,noShipping,0,0,deparshoes,100,1
Dero Axis Erkek Spor Ayakkabı Unisex Sneaker DR056,89.0,200.0,55,freeShipping,0,0,dero,100,1
Erkek Günlük Air Nubuk Spor Ayakkabı,74.0,139.0,46,freeShipping,0,0,OdesaAyakkabı,86,1
Hercule Outdoor Erkek Sneaker Spor Ayakkabı Rahat Giyim,99.0,219.0,55,freeShipping,0,0,HerculeShoes,100,1
Kadın Erkek Keten Convers Modeli Spor Ayakkabı,69.0,269.0,74,freeShipping,0,0,MechButik,97,1
Kinetix REEDS M 1FX Siyah Erkek Çocuk Sneaker Ayakkabı,78.0,119.0,34,freeShipping,0,0,INSTREET,95,1
Modalist M030 Erkek Spor Ayakkabı YESİL-BEYAZ,74.0,229.0,67,freeShipping,0,0,Modalist,97,1
Wanderfull 4106 Erkek Günlük Spor Ayakkabı Yeni Sezon Bağsız,99.0,179.0,44,freeShipping,0,0,MYPARLAK,91,1
Hado DPN502 Erkek Spor Ayakkabı Günlük Sneakers,79.0,109.0,27,freeShipping,0,0,HadoShop,100,1
Kinetix THEHA 1FX Siyah Erkek Sneaker,84.0,129.0,35,freeShipping,0,0,INSTREET,95,1
Gezer 3102 Erkek Panduf Ev Botu Ev Ayakkabısı,49.0,79.0,37,freeShipping,0,0,eylülsporoutlet,91,1
İmerShoes Fileli Günlük Spor Ayakkabı Erkek Bayan Çocuk Sneakers,79.0,146.0,46,freeShipping,0,0,imer-tech,100,1
Kinetix TOOLS 1FX Siyah Kız Çocuk Fashion Sneaker,72.0,119.0,39,freeShipping,0,0,INSTREET,95,1
Slazenger ORBAN Erkek Terlik Siyah / Kırmızı,29.0,59.0,50,noShipping,0,0,Slazenger,95,1
Coronix Kadın Spor Ayakkabı Yeni Sezon Yürüyüş Ayakkabısı,49.0,89.0,44,freeShipping,0,0,MYPARLAK,91,1
Jump 18097-C Kırmızı Futsal Voleybol Unisex Salon Spor Ayakkabı,95.0,0.0,0,freeShipping,0,0,Ayakland,100,1
XstepX Erkek Bayan Günlük Spor Ayakkabı 36-47 6 Renk,99.0,149.0,34,freeShipping,0,0,tarzayak,81,1
Kinetix GIAN KNIT W Siyah Kadın Sneaker Ayakkabı,62.0,119.0,48,freeShipping,0,0,INSTREET,95,1
İmershoes Erkek Günlük Step Sandalet Düz Taban Cırtlı Spor Yazlık,79.0,199.0,60,freeShipping,0,0,imer-tech,100,1
TOMMS Kadın Bağcık Lastik Detaylı Sneaker Spor Ayakkabı,59.0,249.0,76,freeShipping,0,0,tomms_shoes,100,1
Kinetix Cordelıa Pu 9PR Rahat (36-40) Bayan Günlük Spor Ayakkabı,99.0,129.0,24,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,1
Kinetix ADMES M Beyaz Erkek Sneaker Ayakkabı,90.0,119.0,24,freeShipping,0,0,INSTREET,95,1
Muggo SVT03 ortopedik & Terletmez Kadın Sneaker,49.0,99.0,50,noShipping,0,0,deparshoes,100,1
Föz Siyah Günlük Cilt Erkek Çocuk Spor Ayakkabı 093,71.0,139.0,49,freeShipping,0,0,Ozpa,100,1
İlgipark  Kadın Günlük Hafif Cırtlı Siyah Yürüyüş Spor Ayakkabı,89.0,159.0,44,freeShipping,0,0,ilgipark,100,1
U.S. Polo Assn. KATYA Beyaz Kadın Sneaker,86.0,199.0,57,freeShipping,0,0,INSTREET,95,1
Ayakcenter 5100 Gri-Fuşya Günlük Kadın Sneaker Spor Ayakkabı,94.0,149.0,37,freeShipping,0,0,Ayakcenter,100,1
Kinetix FORLAN TURF Siyah Erkek Çocuk Halı Saha Ayakkabısı,53.0,89.0,40,freeShipping,0,0,INSTREET,95,1
Modafrato WN-4056 Unisex Spor Ayakkabı Koşu Yürüyüş Ayakkabısı,89.0,199.0,55,freeShipping,0,0,ModaFrato,100,1
Lexos 179 Erkek Halı Saha Futbol Ayakkabı,99.0,119.0,17,freeShipping,0,0,PAPUÇCİTY,92,1
Muggo MGOSLO04 Hakiki Deri Erkek Sneaker Ayakkabı,79.0,199.0,60,noShipping,0,0,deparshoes,100,1
M.p 182-1236 Rahat Yeni Sezon (40-45) Günlük Spor Ayakkabı,99.0,149.0,34,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,1
Günlük Erkek Spor Ayakkabı Siyah Kırmızı Mavi Kahve Beyaz Gri,79.0,137.0,42,freeShipping,0,0,imer-tech,100,1
Ayakland Nprs 75 Air Günlük Bayan Spor Ayakkabı,71.0,0.0,0,freeShipping,0,0,Ayakland,100,1
Callion 3939 Ortopedi Kışlık Çocuk Spor Ayakkabı (26-35),95.0,0.0,0,freeShipping,0,0,ayakkabiburada,100,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI SİYAH BEYAZ-KREM-MAVİ,89.0,139.0,36,freeShipping,0,0,kubilayshoes,86,1
Kinetix SERGY M 1FX Beyaz Erkek Çocuk Sneaker Ayakkabı,92.0,139.0,34,freeShipping,0,0,INSTREET,95,1
Cool Erkek Çocuk (28-37) Kırmızı Halı Saha Futbol Ayakkabı,89.0,119.0,25,freeShipping,0,0,PAPUÇCİTY,92,1
Hercule Beyaz Lacivert Erkek Spor Ayakkabı Günlük Sneaker,94.0,189.0,50,freeShipping,0,0,HerculeShoes,100,1
Lumberjack WILEY TEXT 1FX Lacivert Erkek Çocuk Koşu Ayakkabısı,83.0,139.0,40,freeShipping,0,0,INSTREET,95,1
Kinetix ADMES M Lacivert Erkek Sneaker Ayakkabı,85.0,119.0,29,freeShipping,0,0,INSTREET,95,1
Lumberjack TIANA 1FX Beyaz Kız Çocuk Koşu Ayakkabısı,92.0,169.0,46,freeShipping,0,0,INSTREET,95,1
Marco Jamper 1714 Yeni Sezon (40-45) Günlük Erkek Spor Ayakkabı,99.0,139.0,29,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,1
Letao Ortapedik Bayan Günlük Spor Ayakkabı,89.0,149.0,40,freeShipping,0,0,tarzayak,81,1
JUMP 24936 Beyaz Kız Çocuk Spor Ayakkabı,86.0,169.0,49,freeShipping,0,0,ARMESPORT,100,1
Kinetix YANNI Saks Turuncu Erkek Çocuk Koşu Ayakkabısı,78.0,89.0,12,freeShipping,0,0,FLO,95,1
Modalist M030 Erkek Spor Ayakkabı SİYAH-KIRMIZI,74.0,229.0,67,freeShipping,0,0,Modalist,97,1
ERKEK SPOR AYAKKABI,89.0,179.0,50,freeShipping,0,0,özkayaayakkabı,100,1
DİĞER ÇEPİÇ 1001 KAR BOTU ÇPÇ-1001,99.0,229.0,57,freeShipping,0,0,EYMSPOR,97,1
Kinetix Dennı Unisex Çocuk Sneaker Ayakkabı,49.0,69.0,29,freeShipping,0,0,SancarAyakkabı,85,1
Modalist M029 Erkek Spor Ayakkabı SİYAH-BEYAZ,74.0,229.0,67,freeShipping,0,0,Modalist,97,1
Hercule Erkek Spor Ayakkabı Günlük Sneaker Yeni Sezon Hafif Giyim,89.0,184.0,51,freeShipping,0,0,HerculeShoes,100,1
Slazenger SUN Sneaker Kadın Ayakkabı Bordo,99.0,119.0,17,freeShipping,0,0,Slazenger,95,1
Stroll 649 Lacivert Anatomik (40-45) Günlük Erkek Spor Ayakkabı,99.0,149.0,34,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,1
Peugeot Partner Tepee Krom Sürgü Nikelajı 2 Parça 2008 Üzeri,54.0,0.0,0,freeShipping,0,0,BaskentOto,100,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI GRİ-BEYAZ-SİYAH-KREM,89.0,149.0,40,freeShipping,0,0,kubilayshoes,86,1
Atlanta Erkek Günlük Spor Ayakkabı Yüksek Taban Yeni Sezon,59.0,109.0,46,freeShipping,0,0,MYPARLAK,91,1
MP 202-7747  Mp Siyah Çoraplı Krampon,98.0,0.0,0,freeShipping,0,0,sporZistanbul,100,1
Çorap Mest %100 Hakiki Deri Balakix (Balerin Ayakkabısı-Pisi pisi,61.0,0.0,0,freeShipping,0,0,KOCAMANLAR-AYAKKABI,97,1
JUMP 25384 ERKEK HALI-SAHA FUTBOL AYAKKABISI,96.0,109.0,12,freeShipping,0,0,TEKTAŞAYAKKABIVESPOR,100,1
M.P. Çocuk Filet Halı Saha Ayakkabı 211-1812FT,97.0,0.0,0,freeShipping,0,0,CİHANGİR,84,1
Kinetix RAIN 1FX Beyaz Erkek Çocuk Sneaker Ayakkabı,61.0,99.0,38,freeShipping,0,0,INSTREET,95,1
Kinetix DORA W 1FX Beyaz Kadın Koşu Ayakkabısı,78.0,129.0,40,freeShipping,0,0,INSTREET,95,1
Wanderfull 4095 Erkek Günlük Spor Ayakkabı Triko Malzeme,89.0,149.0,40,freeShipping,0,0,MYPARLAK,91,1
Kinetix HELIUM J 1FX Beyaz Erkek Çocuk Koşu Ayakkabısı,74.0,129.0,42,freeShipping,0,0,INSTREET,95,1
NIKE PRO AİR GRİ SPOR,95.0,0.0,0,freeShipping,0,0,meldagiyim,33,1
Kinetix Agron J Turf 9pr Turuncu Erkek Çocuk Halı Saha Ayakkabısı,89.0,0.0,0,noShipping,0,0,cankortel80,86,1
Jump 20355 Erkek Halısaha Futbol Ayakkabı (36-44),99.0,0.0,0,freeShipping,0,0,ayakkabiburada,100,1
Pembe Potin Aır Taban Kadın-Erkek Sneaker A I R777,72.0,0.0,0,freeShipping,0,0,pembepotinshoes,93,1
Santra Erkek Çocuk Günlük Halı Saha Krampon Spor Ayk. 26-35,69.0,109.0,36,freeShipping,0,0,MTONLINE,100,1
Kadın Siyah Sneaker Suni Deri Spor Ayakkabı,69.0,159.0,56,freeShipping,0,0,sonexayakkabı,100,1
California Nike Krampon Uyumlu PLASTİK Krampon Vidası 12'li,96.0,0.0,0,freeShipping,0,0,SpordaMarka,82,1
Wanderfull 4092 Erkek Günlük Spor & Yürüyüş Ayakkabısı Sonbahar K,99.0,219.0,55,freeShipping,0,0,MYPARLAK,91,1
Letao Outdoor Erkek Kadın Günlük Spor Ayakkabı,89.0,149.0,40,freeShipping,0,0,tarzayak,81,1
Glesto 101 Kadın Spor Ayakkabı,98.0,0.0,0,noShipping,0,0,İskarpin,87,1
Kinetix SANTA J 9PR Lacivert Erkek Çocuk Yürüyüş Ayakkabısı,67.0,119.0,44,freeShipping,0,0,FLO,95,1
Mehmet Mete 0060 T Best Of Erkek Spor Ayakkabı,99.0,159.0,38,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,1
Erkek Sneaker Triko Spor Ayakkabı,79.0,108.0,27,freeShipping,0,0,OdesaAyakkabı,86,1
Kinetix KARL MESH M 1FX Lacivert Erkek Sneaker Ayakkabı,84.0,119.0,29,freeShipping,0,0,INSTREET,95,1
Ayakland Nprs 75 Süet Air Bayan Spor Ayakkabı Siyah,95.0,0.0,0,freeShipping,0,0,Ayakland,100,1
Modalist Unisex Sneaker Ayakkabı SİYAH,69.0,189.0,63,freeShipping,0,0,Modalist,97,1
Dero Axis Erkek Spor Ayakkabı Unisex Sneaker DR057,79.0,175.0,54,freeShipping,0,0,dero,100,1
M.P FUNNY ORTOPEDİK TABAN SPOR AYAKKABI,89.0,149.0,40,freeShipping,0,0,Metingiyimayakkabı,99,1
TOMMS Kadın Bağcık Lastik Detaylı Sneaker Spor Ayakkabı LONA-55,59.0,289.0,79,freeShipping,0,0,tomms_shoes,100,1
LİSON SERİNLETİCİ SPORCU HAVLUSU GRİ,49.0,0.0,0,freeShipping,0,0,pazaranka,100,1
Wanderfull 4109 Erkek Spor Yürüyüş Ayakkabısı Yeni Sezon Ortopedi,84.0,144.0,41,freeShipping,0,0,MYPARLAK,91,1
Kinetix ANCHOR MESH M 1FX Siyah Erkek Sneaker Ayakkabı,92.0,129.0,29,freeShipping,0,0,INSTREET,95,1
İlgipark Kadın Günlük Siyah Süet Streçli Bağcıklı Spor Ayakkabı,89.0,139.0,36,freeShipping,0,0,ilgipark,100,1
Muggo SVT12 Unısex Sneaker Ayakkabı,49.0,149.0,67,noShipping,0,0,deparshoes,100,1
Modalist Sneaker Erkek Ayakkabı SİYAH,79.0,209.0,62,freeShipping,0,0,Modalist,97,1
Gezer 10826 Kadın Terlik Jel Topuk Dikeni Terliği,49.0,69.0,29,freeShipping,0,0,eylülsporoutlet,91,1
Twingo 270-6 siyah kırmızı krampon ayakkabı,85.0,109.0,22,freeShipping,0,0,AyakkabıByRecep,81,1
Erkek Yürüyüş Siyah Spor Ayakkabı,89.0,149.0,40,freeShipping,0,0,OdesaAyakkabı,86,1
Mech Butik Bayan Spor Ayakkabı Erkek&Bayan&Çocuk,69.0,269.0,74,freeShipping,0,0,MechButik,97,1
Hercule Erkek Günlük Spor Ayakkabı Rahat Giyim Yeni Sezon Sneaker,99.0,189.0,47,freeShipping,0,0,HerculeShoes,100,1
Kinetix JUNO 1FX Lacivert Erkek Sneaker,84.0,119.0,29,freeShipping,0,0,INSTREET,95,1
LETOON 6097 ERKEK KOŞU AYAKKABISI - Lacivert,88.0,205.0,57,noShipping,0,0,Letoon,85,1
Krem Pudra Detaylı Kadın Sneaker Ayakkabı,69.0,199.0,65,freeShipping,0,0,pabucum,0,1
Cool 19-K31 Erkek Çocuk Beyaz Basketbol Ayakkabı,89.0,119.0,25,freeShipping,0,0,PAPUÇCİTY,92,1
Muggo MGPALERMO01 Erkek Sneaker Ayakkabı,91.0,188.0,52,noShipping,0,0,deparshoes,100,1
Kinetix BARNES W 1FX Mor Kadın Sneaker Ayakkabı,86.0,109.0,21,freeShipping,0,0,INSTREET,95,1
Wanderfull 4083 Kadın Günlük Spor Ayakkabı Yürüyüş Ayakkabısı,69.0,149.0,53,freeShipping,0,0,MYPARLAK,91,1
Kinetix ROARS Lacivert Erkek Çocuk Yürüyüş Ayakkabısı,61.0,119.0,49,freeShipping,0,0,INSTREET,95,1
Ayakkabix Günlük Erkek Spor Ayakkabı,99.0,299.0,67,freeShipping,0,0,ayakkabix,98,1
Kız Çocuk Pembe Işıklı Spor Ayakkabı,79.0,129.0,38,freeShipping,0,0,OdesaAyakkabı,86,1
ModaOnn Kadın Faylon Taban Terlik,99.0,199.0,50,freeShipping,0,0,OdesaAyakkabı,86,1
Kız Çocuk Beyaz Simli Sneaker Spor Ayakkabı,59.0,149.0,60,freeShipping,0,0,sonexayakkabı,100,1
Kadın Süet Çiçekli Terlik Sandalet BA20294,79.0,199.0,60,freeShipping,0,0,Weynes,87,1
Flet Bayan Spor Ayakkabı Günlük Rahat Esnek Hafif Ortopedik,84.0,120.0,30,freeShipping,0,0,HİRATEDARİKHİZM.,94,1
Modalist FM-7070 Erkek Sneaker LACİVERT,95.0,449.0,79,freeShipping,0,0,Modalist,97,1
Ayakland Nprs 75 Air Günlük Bayan Spor Ayakkabı Siyah-Beyaz,59.0,0.0,0,freeShipping,0,0,AykaButik,95,1
JUMP 25851 ERKEK HALI SAHA AYAKKABISI,98.0,104.0,6,freeShipping,0,0,TEKTAŞAYAKKABIVESPOR,100,1
Parley Step Kadın Günlük Spor Ayakkabı Fırsat Ürünü Yürüyüş,59.0,109.0,46,freeShipping,0,0,MYPARLAK,91,1
Modalist Sneaker Erkek Ayakkabı BEYAZ,79.0,209.0,62,freeShipping,0,0,Modalist,97,1
Ayakland Nprs 75 Air Günlük Bayan Spor Ayakkabı Siyah,59.0,104.0,43,freeShipping,0,0,Potincim,95,1
Papuçcity Alessio Erkek Çocuk Günlük Spor Ayakkabı,89.0,129.0,31,freeShipping,0,0,PAPUÇCİTY,92,1
Habibear Siyah Günlük Triko Erkek Çocuk Spor Ayakkabı 099,89.0,149.0,40,freeShipping,0,0,Ozpa,100,1
POLO CLUP CİLD DERİ SONBAHAR CONVERS UNISEX SPOR AYAKKABI,99.0,199.0,50,noShipping,0,0,MeteTekstilÜrünleri,90,1
