product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Kadın Tavşan Figürlü Panduf Ev Terliği Ses Yapmaz Taban,49.9,149.9,66,noShipping,87,61,NOVİNS,87,1
Pofuduk Ev Terliği Erkek Kadın Için Ses Yapmaz Taban Içi Kürklü Yıkanabilir,39.9,69.9,42,noShipping,89,58,Fogs,89,1
Bayan Ev Terliği,27.0,59.0,54,noShipping,91,59,GEZER,91,1
Eva01 Kadın Terlik,19.9,0.0,0,noShipping,65,1077,MUGGO,65,1
Beyaz Kadın Kışlık Kürklü Püsküllü Terlik Tüylü Ses Yapmaz Ev Terliği Şık Çeyiz Bohça Doğum Terliği,29.08,74.95,61,noShipping,93,15,Modafırsat,93,1
Unisex Panduf Ev İçi Ayakkabısı,27.9,79.9,65,noShipping,72,13,Nmoda,72,1
Çift Toka Eva Günlük Terlik (bej),29.99,0.0,0,noShipping,98,20,Chiweva,98,1
Ev Terliği Ses Yapmaz Yumuşak Taban,29.9,69.9,57,noShipping,84,26,Fogs,84,1
Bordo Çini Kadın Ev Terliği Kışlık Kapalı Yumuşak Rahat Terlik Nakışlı Çeyiz Bohça Terliği,26.44,59.98,55,noShipping,100,5,Modafırsat,100,1
Pofuduk Ev Terliği Erkek Kadın Için Ses Yapmaz Taban Içi Kürklü Yıkanabilir,29.9,69.9,57,noShipping,89,433,Fogs,89,1
Unisex Ev Terliği Ses Yapmaz Taban,39.9,69.9,42,noShipping,89,121,Fogs,89,1
Siyah Erkek Peluşlu Ev Terliği,28.12,89.9,68,noShipping,81,42,Ekol Ayakkabi,81,1
Passıon Erkek Ev Terliği Kışlık Terlik,38.7,66.5,41,noShipping,89,29,Moda Frato,89,1
"Bayan Lila Şapkalı Kedi Kışlık Ev,misafir Terliği",28.22,0.0,0,noShipping,93,46,GEZER,93,1
Kadın Siyah Çapraz Peluş Ev Terliği,39.99,0.0,0,noShipping,87,1171,OCT Shoes,87,1
Siyah Kadın Ev Terliği Kışlık Kapalı Içi Yumuşak Taban Rahat Terlik Nakışlı Çeyiz Bohça Terliği,25.95,59.98,56,noShipping,89,70,Modafırsat,89,1
Kadın Ponponlu Ev Terliği Gri,66.65,199.99,66,noShipping,92,40,Beyond,92,1
3’lü Kadın Ev Terligi,49.0,70.0,30,noShipping,84,119,EBRULİ BUTİK06,84,1
Terra Kalın Taban Polar Ev Terliği,43.9,79.8,44,noShipping,85,14,Oksit,85,1
Kadın Ev Terliği Peluş Terlik Çeyiz Terliği Bohça Terliği,29.9,59.0,49,noShipping,91,101,StWenn,91,1
Kadın Pembe Rabbit Yumuşak Gondol Ev Terliği,111.09,249.99,55,noShipping,86,3,Beyond,86,1
Passıon Erkek Ev Terliği Kışlık Terlik,38.7,66.5,41,noShipping,90,24,Moda Frato,90,1
E020 Kışlık Kadın Ev Terliği,59.98,0.0,0,noShipping,90,30,Capone Outfitters,90,1
Erkek Siyah Deri Görünümlü Yumuşak Taban Terlik,18.0,29.99,39,noShipping,72,298,GEZER,72,1
