product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Beyaz Kadın Sneaker,84.99,0.0,0,noShipping,90,638,U.S. Polo Assn.,90,1
Beyaz Unısex Sneaker Ayakkabı,82.35,0.0,0,freeShipping,68,13115,MUGGO,68,1
Kadın Çift Cırtlı Spor Ayakkabı Siyah Beyaz,198.0,250.0,20,freeShipping,91,36,Ccway,91,1
Kadın Beyaz Sneaker 1021-105-0010_1003,74.99,151.87,50,freeShipping,76,3061,Gob London,76,1
Günlük Unisex Rahat Bilekli Keten Spor Ayakkabı,150.0,199.99,24,freeShipping,82,42,Ymn ayakkabı,82,1
Beyaz Mgpogba Unisex Sneaker Günlük Yürüyüş Spor Ayakkabı,82.35,0.0,0,freeShipping,79,360,MUGGO,79,1
Kadın Çift Cırtlı Spor Ayakkabı Laci Pembe,198.0,250.0,20,freeShipping,91,47,Ccway,91,1
Oslo Beyaz Unisex Ayakkabı,99.9,224.95,55,noShipping,82,2063,HUMMEL,82,1
Kadın Çift Cırtlı Spor Ayakkabı Siyah Siyah Füme,198.0,250.0,20,freeShipping,88,26,Ccway,88,1
Kadın Beyaz Bağcıklı Siyah Şeritli Deri Spor Ayakkabı Ba18018,159.98,199.99,20,freeShipping,66,54,Weynes,66,1
Beyaz Kadın Sneaker 14361,94.99,109.0,12,freeShipping,81,8371,SOHO,81,1
Kadın Beyaz Bağcıklı Deri Spor Ayakkabı Ba18018,139.98,199.99,30,freeShipping,63,328,Weynes,63,1
Kadın Siyah Tek Tik Sneaker Spor Ayakkabı Ba21022,179.98,0.0,0,freeShipping,84,34,Weynes,84,1
Kadın Siyah Bağcıklı Beyaz Şeritli Deri Spor Ayakkabı Ba18018,159.98,199.99,20,freeShipping,73,17,Weynes,73,1
Unısex Siyah Uzun Cvrs Spor Ayakkabı,89.99,199.99,55,freeShipping,86,139,MİRKET,86,1
Kadın Erkek Günlük Bilekli Keten Ayakkabı 10 Renk,125.3,199.9,37,freeShipping,81,2197,Bartrobel,81,1
E Kadın Beyaz Spor Ayakkabı 111177,78.99,92.99,15,freeShipping,84,46,ZERDALİFE,84,1
Unisex Spor Ayakkabı Günlük Sneakers Tmssnkr78,79.9,199.99,60,freeShipping,76,161,tomms,76,1
Siyah-Siyah Kadın Sneaker 15930,85.57,0.0,0,freeShipping,95,63,SOHO,95,1
LONNI W 1FX Mor Kadın Koşu Ayakkabısı 100785589,92.6,129.99,28,noShipping,90,74,Kinetix,90,1
Keten Bağcıklı Sneakers Spor Ayakkabı,150.0,0.0,0,freeShipping,77,15,YMN,77,1
Spor Ayakkabı - Beyaz Mavi,52.5,104.99,49,noShipping,91,14,ayakkabıhavuzu,91,1
Kadın Siyah Spor Ayakkabı,89.99,204.99,56,noShipping,75,40,ayakkabıhavuzu,75,1
E Kadın Siyah Beyaz Taban Spor Ayakkabı 111177,78.99,92.99,15,freeShipping,82,10,ZERDALİFE,82,1
DARIO W Beyaz Kadın Sneaker 100318039,199.9,0.0,0,freeShipping,82,63,Torex,82,1
Kadın Üç Şeritli Siyah Spor Ayakkabı Ba18022,139.98,0.0,0,freeShipping,88,24,Weynes,88,1
