product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
PARMAK ARASI TERLİK DENİZ HAVUZ PLAJ VE ISLAK ZEMİN TERLİĞİ,9.0,15.0,38,noShipping,0,0,pamirpazar,92,1
PARMAK ARASI TERLİK DENİZ HAVUZ PLAJ  ISLAK ZEMİN TERLİĞİ,9.0,15.0,38,noShipping,0,0,pamirpazar,92,1
"PARMAK ARASI TERLİK HAVUZ, DENİZ, PLAJ VE ISLAK ZEMİN TERLİĞİ",9.0,15.0,38,noShipping,0,0,pamirpazar,92,1
Slazenger OLTA Erkek Terlik Saks Mavi,24.0,49.0,50,noShipping,0,0,Slazenger,95,1
PARMAK ARASI TERLİK DENİZ HAVUZ PLAJ VE ISLAK ZEMİN TERLİĞİ,7.0,15.0,50,noShipping,0,0,pamirpazar,92,1
AYAKKABI İPLİĞİ SPOR AYAKKABI İPLİĞİ BAĞCIK İPLİĞİ İPLİK,15.0,0.0,0,noShipping,0,0,HydMarket,100,1
"parmak arası terlik havuz plaj ,deniz ve ıslak zemin terliği",15.0,0.0,0,noShipping,0,0,pamirpazar,92,1
PARMAK ARASI  DENİZ  PLAJ  HAVUZ  VE  ISLAK ZEMİN TERLİĞİ,6.0,15.0,57,noShipping,0,0,pamirpazar,92,1
O'neill Çocuk Parmak Arası Terlik Orjinal,25.0,85.0,71,freeShipping,0,0,Graceskateshop,97,1
Akınalbella  Çocuk Kelebek Desenli Terlik,25.0,35.0,29,noShipping,0,0,MagTeknoloji,93,1
GEZER GT5YZE.08486 KADIN TERLİK,19.0,29.0,33,noShipping,0,0,pabucccu,62,1
Akınalbella  Çocuk Kelebek Desenli Terlik,25.0,35.0,29,noShipping,0,0,NefesKablo,100,1
O'neill Çocuk Sİyah Parmak Arası Terlik Orjinal,25.0,90.0,72,freeShipping,0,0,Graceskateshop,97,1
Kışlık Kız Çocuk Ev Teliği,19.0,0.0,0,freeShipping,0,0,E-KandişAvm,97,1
KUŞ FİLESİ 1mm KALINLIK 2x2 GÖZ ARALIKLI FİLE,21.0,0.0,0,noShipping,0,0,kocgrass,100,1
GEZER 10452 siyah,19.0,29.0,33,noShipping,0,0,pabucccu,62,1
O'neill Beyaz Çocuk Parmak Arası Terlik Orjinal,25.0,90.0,72,freeShipping,0,0,Graceskateshop,97,1
Bermody Erkek Rahat Parmak Arası  Haki Yeşil Plaj Terliği Flipflo,19.0,0.0,0,noShipping,0,0,eturkuazterlik,0,1
Newborn Çocuk Çorap-Patik NBR-NAQ4010-NEW118,19.0,44.0,56,noShipping,0,0,T-Sport,81,1
