product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Gezer 3102 Erkek Panduf Ev Botu Ev Ayakkabısı,49.0,79.0,37,freeShipping,0,0,eylülsporoutlet,91,1
Slazenger ORBAN Erkek Terlik Siyah / Kırmızı,29.0,59.0,50,noShipping,0,0,Slazenger,95,1
Coronix Kadın Spor Ayakkabı Yeni Sezon Yürüyüş Ayakkabısı,49.0,89.0,44,freeShipping,0,0,MYPARLAK,91,1
Muggo SVT03 ortopedik & Terletmez Kadın Sneaker,49.0,99.0,50,noShipping,0,0,deparshoes,100,1
Kinetix Dennı Unisex Çocuk Sneaker Ayakkabı,49.0,69.0,29,freeShipping,0,0,SancarAyakkabı,85,1
LİSON SERİNLETİCİ SPORCU HAVLUSU GRİ,49.0,0.0,0,freeShipping,0,0,pazaranka,100,1
Muggo SVT12 Unısex Sneaker Ayakkabı,49.0,149.0,67,noShipping,0,0,deparshoes,100,1
Gezer 10826 Kadın Terlik Jel Topuk Dikeni Terliği,49.0,69.0,29,freeShipping,0,0,eylülsporoutlet,91,1
Fiyonklu Seffaf Kadın Terliği BP-T-02,49.0,119.0,59,freeShipping,0,0,özkayaayakkabı,100,1
SONIMIX EVA MASAJLI TERLİK,34.0,0.0,0,freeShipping,0,0,eratsport,78,1
PARMAK ARASI TERLİK DENİZ HAVUZ PLAJ VE ISLAK ZEMİN TERLİĞİ,9.0,15.0,38,noShipping,0,0,pamirpazar,92,1
Gezer Siyah Erkek Günlük Terlik Kaymaz Taban Yumuşak Esnek,49.0,59.0,17,noShipping,0,0,imer-tech,100,1
Adidas SIL 3STR CP 1PC - 802310,29.0,55.0,47,noShipping,0,0,Spormarkt,99,1
Kaymaz Taban Ev Içi Balkon Banyo Bahçe Havuz Plaj Erkek Terliği,41.0,59.0,30,freeShipping,0,0,BABBAAYAKKABI,100,1
Slazenger OPAL Erkek Terlik Lacivert / Mavi,49.0,64.0,23,noShipping,0,0,Slazenger,95,1
Slazenger OPAL Erkek Terlik Yeşil,49.0,64.0,23,noShipping,0,0,Slazenger,95,1
Slazenger SOFT Kadın Terlik Kahve,42.0,79.0,47,noShipping,0,0,Slazenger,95,1
Slazenger STEP Erkek Terlik Lacivert,49.0,94.0,47,noShipping,0,0,Slazenger,95,1
SHOW Spor Ayakkabı Boyası Beyaz Ayakabı Boyası Beyazlatıcı Boya,28.0,0.0,0,freeShipping,0,0,Morpanya,94,1
Uzun Keten Spor Ayakkabı,29.0,99.0,70,freeShipping,0,0,OdesaAyakkabı,86,1
Kadın Spor Ayakkabı 1002-101-0001,41.0,62.0,33,noShipping,0,0,GOBLONDON,89,1
TOMMS Kadın Casual Spor Sneaker Ayakkabı P.ESCOBAR-B-01,49.0,209.0,76,freeShipping,0,0,tomms_shoes,100,1
Kadın Yumuşak Taban Sneaker Spor Ayakkabı,44.0,99.0,55,freeShipping,0,0,OdesaAyakkabı,86,1
PARMAK ARASI TERLİK DENİZ HAVUZ PLAJ  ISLAK ZEMİN TERLİĞİ,9.0,15.0,38,noShipping,0,0,pamirpazar,92,1
"PARMAK ARASI TERLİK HAVUZ, DENİZ, PLAJ VE ISLAK ZEMİN TERLİĞİ",9.0,15.0,38,noShipping,0,0,pamirpazar,92,1
Gezer 12593 Siyah Erkek Kaydırmaz Banyo/Bahçe Terlik,49.0,79.0,37,freeShipping,0,0,eylülsporoutlet,91,1
U.S. Polo Assn. LICKI 1FX Pembe Kız Çocuk Yürüyüş Ayakkabısı,42.0,69.0,40,freeShipping,0,0,FLO,95,1
Slazenger OLTA Erkek Terlik Saks Mavi,24.0,49.0,50,noShipping,0,0,Slazenger,95,1
Slazenger OZAN Erkek Terlik Siyah,39.0,0.0,0,noShipping,0,0,Slazenger,95,1
Slazenger OZAN Erkek Terlik Lacivert,39.0,0.0,0,noShipping,0,0,Slazenger,95,1
Hado RCN071 Erkek Ayakkabı Günlük Spor Ayakkabı Casual,44.0,99.0,55,noShipping,0,0,HadoShop,100,1
KEBSS-B200 ÜNİSEX ÇOCUK SPOR AYAKKABI,39.0,69.0,43,noShipping,0,0,şermingiyim,86,1
SHOW Spor Ayakkabı Boyası Beyaz Ayakabı Boyası Beyazlatıcı Boya,29.0,34.0,15,freeShipping,0,0,gezgintİcaretist,97,1
Fabcare FCDE SP 01 Ayakkabı Deodorantı,25.0,0.0,0,noShipping,0,0,Shoebox,93,1
BRN Günlük Erkek Terlik Siyah - Mavi Rahat Esnek Kaymaz Taban,34.0,54.0,36,freeShipping,0,0,imer-tech,100,1
Gezer 8413 Kadın Plaj Banyo Terliği,39.0,49.0,20,freeShipping,0,0,eylülsporoutlet,91,1
El Yayı  Tekli El Bilek Parmak Ön Kol Kas Geliştirme,29.0,39.0,25,freeShipping,0,0,ucuzha/kurumsal,99,1
Kız Çocuk Kışlık Ev İçi Terliği,25.0,0.0,0,freeShipping,0,0,Kandişavm,89,1
Takunya Hamam Terliği Plastik | ID1115,44.0,0.0,0,noShipping,0,0,EnUcuzToptan,99,1
Adidas SIL CP LOGO 1PC - 802316,39.0,55.0,29,noShipping,0,0,Spormarkt,99,1
Kadın Casual Bağcıklı Spor Ayakkabı,44.0,99.0,55,freeShipping,0,0,OdesaAyakkabı,86,1
Slazenger ORIS Erkek Terlik Siyah,39.0,64.0,39,noShipping,0,0,Slazenger,95,1
PARMAK ARASI TERLİK DENİZ HAVUZ PLAJ VE ISLAK ZEMİN TERLİĞİ,7.0,15.0,50,noShipping,0,0,pamirpazar,92,1
Slazenger OZAN Erkek Terlik Lacivert,35.0,49.0,28,noShipping,0,0,Slazenger,95,1
Gezer 9595 Lacivert Anatomik Kaymaz Taban Erkek Terlik,29.0,39.0,25,freeShipping,0,0,pabucccu,62,1
Polaris 317573.Z 1FX KAVUN ICI Kadın Slip On Ayakkabı,33.0,49.0,33,freeShipping,0,0,FLO,95,1
Gezer 5843 Erkek Terlik Banyo Balkon Tuvalet İş Terliği,37.0,47.0,21,freeShipping,0,0,pabucccu,62,1
Paten Kaykay Çocuk Koruma Güvenlik Seti-Pembe (6 Parça),34.0,54.0,36,noShipping,0,0,ModaUyum,100,1
FROZEN KETEN AYAKKABI,39.0,0.0,0,freeShipping,0,0,BizimKundura,0,1
Slazenger OKRA Çocuk Sandalet Lacivert,44.0,54.0,18,noShipping,0,0,Slazenger,95,1
Gezer 11990 Erkek Terlik,39.0,0.0,0,freeShipping,0,0,sporttime,100,1
7187 Günlük Cırtlı Kadın Terlik Lacivert,44.0,59.0,27,freeShipping,0,0,BABBAAYAKKABI,100,1
Bayan Turkuaz Ayı Desenli Ev Terliği PP-001,49.0,0.0,0,freeShipping,0,0,anlaşspor,100,1
Erkek Terlik 12598gzr,29.0,0.0,0,freeShipping,0,0,BABBAAYAKKABI,100,1
Gezer 11466 Kaymaz Taban Şimşek Mcqueen Temalı Çocuk Sandalet Ter,39.0,0.0,0,noShipping,0,0,pabucccu,62,1
Slazenger OKRA Çocuk Sandalet Fuşya,44.0,54.0,18,noShipping,0,0,Slazenger,95,1
Unisex Çocuk Günlük Lacivert Kaydırmaz Terlik,35.0,69.0,49,freeShipping,0,0,ShoegarShoes,87,1
Kadın Vişne  Yıkanabilir Kışlık Ev Terlik Kalp Desen,31.0,59.0,47,freeShipping,0,0,BABBAAYAKKABI,100,1
Kadın Mor Sarı Klasik Desenli Plaj Terliği Gri 700,44.0,89.0,50,freeShipping,0,0,Modabutik,88,1
Defa 1102  Terlik HAvuz Plaj Çocuk Unisex Kırmızı,49.0,95.0,47,freeShipping,0,0,NSTYLEONLİNE,63,1
Gezer Havuz Plaj Patigi Deniz Ayakkabısı Mrd-(40-45),34.0,39.0,13,noShipping,0,0,Tokspor,100,1
Gezer Havuz Plaj Patigi Deniz Ayakkabısı,39.0,49.0,20,noShipping,0,0,pabucccu,62,1
Gezer Kadın Terliği Deniz Plaj Havuz Parmak Arası,29.0,59.0,50,freeShipping,0,0,NSTYLEONLİNE,63,1
Gezer 9595 Lacivert Anatomik Kaymaz Taban Erkek Terlik,39.0,59.0,33,noShipping,0,0,pabucccu,62,1
Bolimex 3030 Beyaz Bağsız Yazlık Kız Erkek Çocuk Spor Ayakkabı,49.0,69.0,29,freeShipping,0,0,Ayakcenter,100,1
Gezer 9652 Deniz Plaj Banyo Havuz Günlük Erkek Terlik KIRMIZI,44.0,54.0,18,freeShipping,0,0,pabucccu,62,1
Defa 1797 Erkek Çocuk Terlik Sandalet Rahat Günlük,29.0,60.0,51,freeShipping,0,0,NSTYLEONLİNE,63,1
Bayan Bej Kuğu Desenli Ev Terliği AKN004,49.0,0.0,0,freeShipping,0,0,anlaşspor,100,1
Kadın Beyaz Leopar Desenli Ev Terliği PA028,45.0,59.0,25,freeShipping,0,0,anlaşspor,100,1
Gezer Bayan Yumuşak Taban Islak Zemin Terliği,34.0,69.0,50,freeShipping,0,0,BABBAAYAKKABI,100,1
O'neill Kız Çocuğu Kadın Parmak Arası Terlik Orjinal,29.0,95.0,69,freeShipping,0,0,Graceskateshop,97,1
TÜYLÜ KADIN TERLİK YUMUŞAK TABANLI MİSAFİR EV TERLİK,29.0,39.0,26,freeShipping,0,0,SLIPPERSHOES,0,1
Gezer 9652 Deniz Plaj Banyo Havuz Günlük Erkek Terlik LACİVERT,39.0,59.0,33,noShipping,0,0,pabucccu,62,1
Dizayn Metal Küllük Küçük Kapaklı,26.0,30.0,10,freeShipping,0,0,ÇELİKPENÇE,100,1
İlk Yardım Ve Bakım Kiti Kamp,39.0,59.0,34,freeShipping,0,0,sporksport,94,1
Bel ve Kalça Form Aleti Waist Twisting Disc,49.0,0.0,0,freeShipping,0,0,alomagazam,99,1
Yavox Bebek Spor Ayakkabı Cırtlı Fileli Spor Ayakkabı,49.0,69.0,29,freeShipping,0,0,mersaayakkabi,100,1
Kadın Eva Banyo Balkon  Plaj Terlik,34.0,49.0,31,freeShipping,0,0,BABBAAYAKKABI,100,1
Gezer Çocuk Yumuşak Taban Islak Zemin Terliği,34.0,49.0,30,freeShipping,0,0,BABBAAYAKKABI,100,1
KADIN EV TERLİK MAKİNADA YIKANILABİLİR MİSAİFİR TERLİK,29.0,39.0,25,noShipping,0,0,SLIPPERSHOES,0,1
Piton Desenli Günlük Kadın Terliği BP-T-05-PITON,39.0,119.0,67,freeShipping,0,0,özkayaayakkabı,100,1
Slazenger FABIA Erkek Terlik Beyaz,49.0,69.0,29,noShipping,0,0,Slazenger,95,1
Gezer Çocuk Yumuşak Taban Islak Zemin Terliği,31.0,49.0,36,freeShipping,0,0,BABBAAYAKKABI,100,1
Kinetix NOAH Gri Kadın Sneaker Ayakkabı,47.0,79.0,41,freeShipping,0,0,FLO,95,1
Plaj Desenli Deniz Terliği 39 Numara,26.0,0.0,0,noShipping,0,0,11Ofis,99,1
Andoutdoor Şeffaf Çocuk Deniz Ve Havuz Ayakkabısı Mavi 26,46.0,0.0,0,freeShipping,0,0,borsettaclub,100,1
Slazenger OKRA Çocuk Sandalet Siyah,44.0,54.0,18,noShipping,0,0,Slazenger,95,1
Slazenger OUTCLASS Kadın Terlik Fuşya,39.0,74.0,47,noShipping,0,0,Slazenger,95,1
S&S SULTANS TOKALI 001 BAYAN ANNE AYAKKABI,45.0,79.0,43,noShipping,0,0,DEMİRELAYAKKABI,100,1
Gezer 12539 Çocuk Siyah Kaydırmaz Havuz Terlik Sandalet 12539,49.0,69.0,28,freeShipping,0,0,eylülsporoutlet,91,1
GEZER 12436 Mikrofiber Erkek Terlik,49.0,59.0,17,freeShipping,0,0,eylülsporoutlet,91,1
Dockers By Gerli 228802 Petrol Erkek Parmak Arası Terlik,38.0,59.0,35,noShipping,0,0,sporcadde,80,1
ACROPOL KADIN SPOR AYAKKABI,39.0,79.0,50,noShipping,0,0,şenyarartoptan,0,1
gezer 9595 anatomik kaymaz taban erkek terlik,39.0,49.0,20,freeShipping,0,0,eylülsporoutlet,91,1
Gezer Kadın Kahverengi Hasır Terlik,49.0,79.0,38,freeShipping,0,0,eylülsporoutlet,91,1
Slazenger OUTCLASS Erkek Terlik Lacivert,39.0,59.0,33,noShipping,0,0,Slazenger,95,1
Slazenger FORA Erkek Terlik Siyah,39.0,69.0,43,noShipping,0,0,Slazenger,95,1
BORDO BAYAN COMFORT KETEN AYAKKABI SNEAKER 211080BRD,39.0,139.0,71,noShipping,0,0,ModanınNabzı,98,1
POLARİS SPOR AYAKKABI,44.0,0.0,0,freeShipping,0,0,AYAKKABISARAYIBUL,0,1
Kadın Taba Çapraz Desenli Ev Terliği PUF003,45.0,59.0,25,freeShipping,0,0,anlaşspor,100,1
Bolimex 3020 Fuşya-Siyah Cırtlı Yazlık Günlük Kız Çocuk Spor Ayak,49.0,69.0,29,freeShipping,0,0,Ayakcenter,100,1
Gezer Erkek Yumuşak Taban Islak Zemin Terliği,34.0,89.0,62,freeShipping,0,0,BABBAAYAKKABI,100,1
Gezer 12967 Siyah Erkek Çeyiz/Bohça Ev İçi Terlik 12967,49.0,79.0,37,freeShipping,0,0,eylülsporoutlet,91,1
Erkek Bebek Patik,29.0,0.0,0,freeShipping,0,0,nargiyim,97,1
Reef Panter Parlak Kumaş Kadın Parmak Arası Terlik Orjinal,29.0,90.0,68,freeShipping,0,0,Graceskateshop,97,1
Kadın Kahve Düğme Desenli Ev Terliği PUF010,45.0,59.0,25,freeShipping,0,0,anlaşspor,100,1
Calx Kız Çocuk Terlik  Sandalet Plaj Havuz Beyaz Lacivert,49.0,79.0,38,freeShipping,0,0,NSTYLEONLİNE,63,1
TOMMS Kolları Fırfırlı Siyah Bluz,49.0,149.0,67,freeShipping,0,0,tomms_shoes,100,1
Gezer Eva Ucu Açık Terlik,41.0,0.0,0,freeShipping,0,0,ŞakaGibiAvm,94,1
Slazenger OUTCLASS Kadın Terlik Lacivert,39.0,74.0,47,noShipping,0,0,Slazenger,95,1
Terlik,44.0,89.0,50,freeShipping,0,0,OdesaAyakkabı,86,1
Kırmızı Erkek Çocuk Terlik 33 Numara,26.0,0.0,0,noShipping,0,0,11Ofis,99,1
LCN Unisex Siyah Spor Ayakkabı,48.0,0.0,0,freeShipping,0,0,AlyaAyakkabı,0,1
andoutdoor Şeffaf Plaj Ayakkabısı,49.0,0.0,0,freeShipping,0,0,Erformavm,100,1
Slazenger OUTCLASS Erkek Terlik Saks Mavi,39.0,74.0,47,noShipping,0,0,Slazenger,95,1
Gezer Lacivert Erkek  Terlik YAzlık Günlük Rahat,49.0,90.0,45,freeShipping,0,0,NSTYLEONLİNE,63,1
JAMPER Kadın Spor Ayakkabı,49.0,0.0,0,freeShipping,0,0,Kandişavm,89,1
corcik günlük ayakkabı suni deri ekonomik,49.0,59.0,17,noShipping,0,0,Capel_Hör-se,89,1
Kadın Kırmızı Çapraz Desenli Ev Terliği PUF005,45.0,59.0,25,freeShipping,0,0,anlaşspor,100,1
Toronto Raptors Terlik,39.0,99.0,60,freeShipping,0,0,USATEAMFANS,95,1
Kadın Plaj Terliği Kamuflaj Desenli Sarı 937.PLJ.6,44.0,89.0,50,freeShipping,0,0,Modabutik,88,1
Akınal Bella Yumuşak Taban Çocuk Crox Terlik,34.0,59.0,42,freeShipping,0,0,BABBAAYAKKABI,100,1
Slazenger OLEGRO Erkek Terlik Siyah / Mavi,49.0,74.0,33,noShipping,0,0,Slazenger,95,1
Sonimix  kadın sıyah terlik,39.0,99.0,60,freeShipping,0,0,NSTYLEONLİNE,63,1
AYAKKABI İPLİĞİ SPOR AYAKKABI İPLİĞİ BAĞCIK İPLİĞİ İPLİK,15.0,0.0,0,noShipping,0,0,HydMarket,100,1
CAlx 603  Kız Çocuk Terlik Sandalet,49.0,105.0,52,freeShipping,0,0,NSTYLEONLİNE,63,1
Andoutdoor Şeffaf Çocuk Deniz Ve Havuz Ayakkabısı Yeşil 26,46.0,0.0,0,freeShipping,0,0,borsettaclub,100,1
Gezer Gzr002 Leopar Kadın Kahverengi Leopar Desenli Hasır Terlik,49.0,79.0,38,freeShipping,0,0,eylülsporoutlet,91,1
Slazenger OLYA Kadın Terlik Fuşya,49.0,79.0,38,noShipping,0,0,Slazenger,95,1
Gezer Bayan Yumuşak Taban Islak Zemin Terlik,34.0,59.0,42,freeShipping,0,0,BABBAAYAKKABI,100,1
Kırmızı Erkek Çocuk Terlik 32 Numara,26.0,0.0,0,noShipping,0,0,11Ofis,99,1
Unisex Siyah Kaydırmaz Terlik,31.0,49.0,37,freeShipping,0,0,ShoegarShoes,87,1
Rugan Günlük Kadın Terliği BP-T-05-RUGAN,49.0,119.0,59,freeShipping,0,0,özkayaayakkabı,100,1
GEZER KAUCUK YUMUŞAK TABAN TERLİK,44.0,89.0,50,freeShipping,0,0,BABBAAYAKKABI,100,1
Tropic Plaj Çocuk Terliği 33 Numara,26.0,0.0,0,noShipping,0,0,11Ofis,99,1
Gezer 11535.01 Kaymaz Taban Çocuk Sandalet Terlik Plaj Havuz,39.0,49.0,20,freeShipping,0,0,pabucccu,62,1
Bayan Ev Terliği Desenli Pembe RÜZGAR 2020-5,44.0,0.0,0,freeShipping,0,0,anlaşspor,100,1
SPOR AYAKKABI,40.0,0.0,0,noShipping,0,0,Guzelliginkalbi,0,1
Gezer 11535.01 Kaymaz Taban Kız Çocuk Sandalet Havuz Terlik,39.0,0.0,0,noShipping,0,0,pabucccu,62,1
Defa 1102 Sandalet Terlik Plaj Deniz HAvuz GÜnlük Rahat Kız Çocuk,49.0,90.0,44,freeShipping,0,0,NSTYLEONLİNE,63,1
Kadın Krem  Kaydırmaz Islak Zemin Terliği,36.0,59.0,38,freeShipping,0,0,BABBAAYAKKABI,100,1
Gezer 12498 Günlük Siyah Erkek Terliği 12498,49.0,79.0,37,freeShipping,0,0,eylülsporoutlet,91,1
Colleen Çocuk Spor Ayakkabı,49.0,0.0,0,freeShipping,0,0,Kandişavm,89,1
Pike Banyo Ev Otel Lohusa Terliği İnce Taban Günlük Terlik,29.0,69.0,57,noShipping,0,0,EnderHome,100,1
Gezer Havuz Plaj Patigi Deniz Ayakkabısı Filet (30-35),34.0,39.0,13,noShipping,0,0,Tokspor,100,1
Gezer 12630 Erkek Terlik,39.0,0.0,0,freeShipping,0,0,sporttime,100,1
Siyah Toms Keten Espatin Ayakkabı,39.0,0.0,0,freeShipping,0,0,E-KandişAvm,97,1
Kadın Pembe Leopar Desenli Ev Terliği PA026,45.0,59.0,25,freeShipping,0,0,anlaşspor,100,1
Kadın Siyah Ortopedik Çapraz Bantlı  Terlik,39.0,59.0,33,freeShipping,0,0,BABBAAYAKKABI,100,1
NEWCİSS Erkek Spor Ayakkabı,49.0,0.0,0,freeShipping,0,0,E-KandişAvm,97,1
Beyaz Unisex Terlik 3173,44.0,0.0,0,freeShipping,0,0,hunterfastshopping,0,1
Multi Fluss Pro Egzersiz Aleti Kopmayan Özel Lastik Tekerlekli,39.0,0.0,0,noShipping,0,0,alomagazam,99,1
Defa 1102 Sandalet Terlik Plaj HAvuz Deniz Günlük Unisex Sarı,49.0,90.0,44,freeShipping,0,0,NSTYLEONLİNE,63,1
Cool Kız Çocuk Bebe Günlük Rahat Günlük Spor Ayakkabı,49.0,69.0,29,freeShipping,0,0,PAPUÇCİTY,92,1
Gezer 11456 Eva Merdane Açık Terlik,29.0,39.0,25,noShipping,0,0,pabucccu,62,1
2 Parcalı Kadın Terliği BP-T-04-LEOPAR,49.0,119.0,59,freeShipping,0,0,özkayaayakkabı,100,1
Slazenger OUTCLASS Kadın Terlik Siyah,39.0,74.0,47,noShipping,0,0,Slazenger,95,1
Slazenger FALLOW Erkek Terlik Bej,44.0,69.0,36,noShipping,0,0,Slazenger,95,1
Miltone Kırmızı Beyaz Bebe Anorak Spor Ayakkabı,39.0,0.0,0,freeShipping,0,0,ObuccaAyakkabı,98,1
Gezer 4821 Eva Islak Zemin Banyo Bahçe Erkek Terlik MAVİ,37.0,47.0,21,freeShipping,0,0,pabucccu,62,1
